module,metric,mean,std
EmergencyLaneScenario.node[6].appl,generatedBSMs,26.0,36.7695526217
EmergencyLaneScenario.node[22].nic.mac1609_4,TotalLostPackets,4.0,0.0
EmergencyLaneScenario.node[15].nic.mac1609_4,SNIRLostPackets,0.0,0.0
EmergencyLaneScenario.node[34].nic.mac1609_4,collisions:count,0.0,0.0
EmergencyLaneScenario.node[19].nic.mac1609_4,SNIRLostPackets,12.0,0.0
EmergencyLaneScenario.rsu[0].nic.mac1609_4,TotalLostPackets,6.5,9.19238815543
EmergencyLaneScenario.node[14].nic.mac1609_4,TooLittleTime,0.0,0.0
EmergencyLaneScenario.node[15].appl,receivedWSMs,3.0,0.0
EmergencyLaneScenario.node[27].appl,emergencyMessagesReceived,0.0,0.0
EmergencyLaneScenario.node[29].nic.mac1609_4,channelBusy:timeavg,0.00266245454545,0.0
EmergencyLaneScenario.node[29].veinsmobility,maxSpeed,18.9997861615,0.0
EmergencyLaneScenario.node[12].nic.mac1609_4,sentPackets:count,38.0,0.0
EmergencyLaneScenario.node[6].nic.mac1609_4,RXTXLostPackets,0.0,0.0
EmergencyLaneScenario.node[0].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[17].appl,receivedWSAs,0.0,0.0
EmergencyLaneScenario.node[13].nic.mac1609_4,SentPackets,48.0,0.0
EmergencyLaneScenario.node[8].veinsmobility,maxSpeed,13.3161430136,1.0386159128
EmergencyLaneScenario.rsu[1].nic.mac1609_4,RXTXLostPackets,0.0,0.0
EmergencyLaneScenario.node[30].appl,generatedBSMs,48.0,0.0
EmergencyLaneScenario.node[13].nic.mac1609_4,SNIRLostPackets,1.0,0.0
EmergencyLaneScenario.node[23].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[8].veinsmobility,startTime,15.65,6.29325035256
EmergencyLaneScenario.node[21].nic.mac1609_4,TooLittleTime,0.0,0.0
EmergencyLaneScenario.node[33].nic.mac1609_4,SentAcknowledgements,0.0,0.0
EmergencyLaneScenario.node[0].appl,generatedBSMs,10.5,14.8492424049
EmergencyLaneScenario.node[30].nic.phy80211p,busyTime,0.0017355,0.0
EmergencyLaneScenario.node[2].veinsmobility,totalDistance,263.083338141,56.1656754156
EmergencyLaneScenario.node[6].nic.mac1609_4,SlotsBackoff,44.5,62.9325035256
EmergencyLaneScenario.node[28].appl,generatedWSMs,0.0,0.0
EmergencyLaneScenario.node[25].appl,receivedBSMs,541.0,0.0
EmergencyLaneScenario.node[4].nic.mac1609_4,RXTXLostPackets,0.0,0.0
EmergencyLaneScenario.node[31].nic.mac1609_4,retriesExceeded:count,0.0,0.0
EmergencyLaneScenario.node[29].nic.mac1609_4,TimesIntoBackoff,22.0,0.0
EmergencyLaneScenario.node[31].appl,laneChangesPerformed,0.0,0.0
EmergencyLaneScenario.rsu[1].nic.phy80211p,busyTime,0.0,0.0
EmergencyLaneScenario.rsu[1].nic.mac1609_4,collisions:count,0.0,0.0
EmergencyLaneScenario.node[15].nic.mac1609_4,RXTXLostPackets,0.0,0.0
EmergencyLaneScenario.node[2].nic.mac1609_4,DroppedPacketsInMac,0.0,0.0
EmergencyLaneScenario.node[25].appl,emergencyMessagesReceived,0.0,0.0
EmergencyLaneScenario.node[31].nic.mac1609_4,DroppedPacketsInMac,0.0,0.0
EmergencyLaneScenario.node[16].nic.mac1609_4,collisions:count,0.0,0.0
EmergencyLaneScenario.node[24].nic.mac1609_4,RetriesExceeded,0.0,0.0
EmergencyLaneScenario.node[7].veinsmobility,totalCO2Emission,42.872741284,44.6357913753
EmergencyLaneScenario.node[7].nic.mac1609_4,TooLittleTime,0.0,0.0
EmergencyLaneScenario.node[23].appl,generatedWSMs,0.0,0.0
EmergencyLaneScenario.node[0].appl,laneChangesPerformed,0.0,0.0
EmergencyLaneScenario.node[23].appl,emergencyMessagesReceived,0.0,0.0
EmergencyLaneScenario.node[33].nic.mac1609_4,totalBusyTime,0.033086,0.0
EmergencyLaneScenario.node[34].nic.mac1609_4,SentPackets,31.0,0.0
EmergencyLaneScenario.node[12].nic.mac1609_4,SlotsBackoff,42.0,0.0
EmergencyLaneScenario.node[19].nic.mac1609_4,retriesExceeded:count,0.0,0.0
EmergencyLaneScenario.node[30].nic.mac1609_4,RXTXLostPackets,0.0,0.0
EmergencyLaneScenario.node[29].nic.mac1609_4,sentPackets:count,22.0,0.0
EmergencyLaneScenario.node[28].nic.mac1609_4,ReceivedBroadcasts,856.0,0.0
EmergencyLaneScenario.node[2].nic.mac1609_4,channelBusy:timeavg,0.0010900255102,0.00154152885986
EmergencyLaneScenario.rsu[1].appl,generatedBSMs,0.0,0.0
